contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
NFLX250207C00350000,NFLX,2025-02-07,350.00,call,625.47,660.17,657.00,77,663.35,18,0,4,2025-02-05,3.49807,1.00000,0.00000,-0.04151,0.00000,0.01917
NFLX250207P00350000,NFLX,2025-02-07,350.00,put,0.01,0.01,0.00,0,0.01,1000,1,6,2025-02-05,4.08391,-0.00013,0.00000,-0.03742,0.00037,-0.00001
NFLX250207C00360000,NFLX,2025-02-07,360.00,call,0.00,650.20,647.00,77,653.40,41,0,0,2025-02-05,3.44516,1.00000,0.00000,-0.04270,0.00000,0.01972
NFLX250207P00360000,NFLX,2025-02-07,360.00,put,0.00,0.01,0.00,0,0.01,500,0,0,2025-02-05,3.97873,-0.00013,0.00000,-0.03737,0.00038,-0.00001
NFLX250207C00370000,NFLX,2025-02-07,370.00,call,0.00,640.35,637.00,77,643.70,41,0,0,2025-02-05,3.39225,1.00000,0.00000,-0.04388,0.00000,0.02027
NFLX250207P00370000,NFLX,2025-02-07,370.00,put,0.00,0.01,0.00,0,0.01,500,0,0,2025-02-05,3.87645,-0.00013,0.00000,-0.03732,0.00039,-0.00001
NFLX250207C00380000,NFLX,2025-02-07,380.00,call,0.00,630.27,627.00,77,633.55,45,0,0,2025-02-05,3.33934,1.00000,0.00000,-0.04507,0.00000,0.02082
NFLX250207P00380000,NFLX,2025-02-07,380.00,put,0.00,0.01,0.00,0,0.01,500,0,0,2025-02-05,3.77706,-0.00014,0.00000,-0.03728,0.00039,-0.00001
NFLX250207C00390000,NFLX,2025-02-07,390.00,call,593.31,620.48,617.00,77,623.95,30,0,1,2025-02-05,3.28643,1.00000,0.00000,-0.04625,0.00000,0.02136
NFLX250207P00390000,NFLX,2025-02-07,390.00,put,0.00,0.01,0.00,0,0.01,500,0,0,2025-02-05,3.68011,-0.00014,0.00000,-0.03722,0.00040,-0.00001
NFLX250207C00400000,NFLX,2025-02-07,400.00,call,579.31,610.38,607.00,77,613.75,31,0,2,2025-02-05,3.23351,1.00000,0.00000,-0.04744,0.00000,0.02191
NFLX250207P00400000,NFLX,2025-02-07,400.00,put,0.00,0.01,0.00,0,0.01,1500,0,501,2025-02-05,3.58560,-0.00014,0.00000,-0.03715,0.00041,-0.00001
NFLX250207C00410000,NFLX,2025-02-07,410.00,call,0.00,600.27,597.00,77,603.55,43,0,0,2025-02-05,3.18060,1.00000,0.00000,-0.04863,0.00000,0.02246
NFLX250207P00410000,NFLX,2025-02-07,410.00,put,0.00,0.01,0.00,0,0.01,500,0,1,2025-02-05,3.49353,-0.00015,0.00000,-0.03710,0.00043,-0.00001
NFLX250207C00420000,NFLX,2025-02-07,420.00,call,0.00,590.48,587.00,77,593.95,29,0,0,2025-02-05,3.12769,1.00000,0.00000,-0.04981,0.00000,0.02301
NFLX250207P00420000,NFLX,2025-02-07,420.00,put,0.00,0.01,0.00,0,0.01,1,0,1,2025-02-05,3.40359,-0.00015,0.00000,-0.03703,0.00044,-0.00001
NFLX250207C00430000,NFLX,2025-02-07,430.00,call,544.74,580.42,577.00,77,583.85,50,0,1,2025-02-05,3.07478,1.00000,0.00000,-0.05100,0.00000,0.02356
NFLX250207P00430000,NFLX,2025-02-07,430.00,put,0.00,0.01,0.00,0,0.62,30,0,5,2025-02-05,3.31579,-0.00015,0.00000,-0.03697,0.00045,-0.00001
