contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
NUGT250516C00030000,NUGT,2025-05-16,30.00,call,30.25,30.50,28.60,1,32.40,5,0,1,2025-05-15,4.05681,1.00000,0.00000,-0.00356,0.00000,0.00082
NUGT250516P00030000,NUGT,2025-05-16,30.00,put,0.00,0.01,0.00,0,2.15,6,0,0,2025-05-15,4.90538,-0.00204,0.00041,-0.05029,0.00021,-0.00000
NUGT250516C00035000,NUGT,2025-05-16,35.00,call,0.00,25.45,23.60,10,27.30,10,0,0,2025-05-15,3.39545,1.00000,0.00000,-0.00415,0.00000,0.00096
NUGT250516P00035000,NUGT,2025-05-16,35.00,put,0.00,0.01,0.00,0,1.35,6,0,1,2025-05-15,3.89687,-0.00256,0.00064,-0.04902,0.00025,-0.00000
NUGT250516C00040000,NUGT,2025-05-16,40.00,call,25.77,20.45,18.60,10,22.30,5,0,2,2025-05-15,2.73408,1.00000,0.00000,-0.00474,0.00000,0.00110
NUGT250516P00040000,NUGT,2025-05-16,40.00,put,0.00,0.01,0.00,0,0.10,1,0,9,2025-05-15,3.01580,-0.00328,0.00103,-0.04742,0.00031,-0.00001
NUGT250516C00045000,NUGT,2025-05-16,45.00,call,26.48,15.45,13.60,8,17.30,5,0,37,2025-05-15,2.07272,1.00000,0.00000,-0.00534,0.00000,0.00123
NUGT250516P00045000,NUGT,2025-05-16,45.00,put,0.00,0.01,0.00,0,0.70,288,0,245,2025-05-15,2.22771,-0.00437,0.00181,-0.04536,0.00041,-0.00001
NUGT250516C00048000,NUGT,2025-05-16,48.00,call,0.00,12.50,10.70,5,14.30,5,0,0,2025-05-15,1.67590,1.00000,0.00000,-0.00569,0.00000,0.00131
NUGT250516P00048000,NUGT,2025-05-16,48.00,put,0.00,0.01,0.00,0,0.05,5,0,60,2025-05-15,1.78839,-0.00538,0.00272,-0.04377,0.00049,-0.00001
NUGT250516C00049000,NUGT,2025-05-16,49.00,call,9.00,11.50,9.70,5,13.30,5,0,11,2025-05-15,1.54363,1.00000,0.00000,-0.00581,0.00000,0.00134
NUGT250516P00049000,NUGT,2025-05-16,49.00,put,0.01,0.01,0.00,0,0.95,1,25,11,2025-05-15,1.64647,-0.00581,0.00316,-0.04317,0.00052,-0.00001
NUGT250516C00050000,NUGT,2025-05-16,50.00,call,9.80,10.50,8.60,1,12.40,5,8,145,2025-05-15,1.41135,1.00000,0.00000,-0.00593,0.00000,0.00137
NUGT250516P00050000,NUGT,2025-05-16,50.00,put,0.00,0.01,0.00,0,0.05,1,0,95,2025-05-15,1.50638,-0.00631,0.00372,-0.04250,0.00056,-0.00001
NUGT250516C00051000,NUGT,2025-05-16,51.00,call,23.98,9.50,7.60,6,11.40,5,0,3,2025-05-15,1.27908,1.00000,0.00000,-0.00605,0.00000,0.00140
NUGT250516P00051000,NUGT,2025-05-16,51.00,put,0.00,0.01,0.00,0,0.25,6,0,177,2025-05-15,1.36797,-0.00690,0.00443,-0.04176,0.00061,-0.00001
NUGT250516C00052000,NUGT,2025-05-16,52.00,call,10.10,8.55,6.70,5,10.40,5,0,22,2025-05-15,1.14681,1.00000,0.00000,-0.00617,0.00000,0.00142
NUGT250516P00052000,NUGT,2025-05-16,52.00,put,0.00,0.01,0.00,0,0.55,6,0,36,2025-05-15,1.23124,-0.00762,0.00537,-0.04098,0.00067,-0.00001
NUGT250516C00053000,NUGT,2025-05-16,53.00,call,5.30,7.40,5.60,6,9.20,5,0,34,2025-05-15,1.01453,1.00000,0.00000,-0.00629,0.00000,0.00145
