contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
QQQ250306C00416000,QQQ,2025-03-06,416.00,call,73.12,73.06,71.26,10,74.86,10,39,0,2025-03-06,1.81552,0.95844,0.00192,-2.10872,0.02271,0.01082
QQQ250306P00416000,QQQ,2025-03-06,416.00,put,0.01,0.01,0.00,0,0.01,900,3,582,2025-03-06,1.02743,-0.00133,0.00017,-0.05723,0.00112,-0.00002
QQQ250306C00417000,QQQ,2025-03-06,417.00,call,0.00,72.06,70.26,10,73.86,10,0,0,2025-03-06,1.79311,0.95799,0.00196,-2.10144,0.02292,0.01084
QQQ250306P00417000,QQQ,2025-03-06,417.00,put,0.01,0.01,0.00,0,0.01,1,1,78,2025-03-06,1.01325,-0.00135,0.00017,-0.05712,0.00113,-0.00002
QQQ250306C00418000,QQQ,2025-03-06,418.00,call,0.00,71.06,69.26,10,72.86,10,0,0,2025-03-06,1.77070,0.95752,0.00200,-2.09399,0.02312,0.01086
QQQ250306P00418000,QQQ,2025-03-06,418.00,put,0.01,0.01,0.00,0,0.01,3,1,370,2025-03-06,0.99908,-0.00136,0.00018,-0.05699,0.00114,-0.00002
QQQ250306C00419000,QQQ,2025-03-06,419.00,call,0.00,70.06,68.26,10,71.85,10,0,0,2025-03-06,1.74845,0.95703,0.00204,-2.08705,0.02333,0.01088
QQQ250306P00419000,QQQ,2025-03-06,419.00,put,0.00,0.01,0.00,0,0.02,18,0,16,2025-03-06,0.98490,-0.00138,0.00018,-0.05685,0.00116,-0.00002
QQQ250306C00420000,QQQ,2025-03-06,420.00,call,82.28,69.06,67.26,10,70.85,10,0,2,2025-03-06,1.72604,0.95655,0.00209,-2.07929,0.02355,0.01090
QQQ250306P00420000,QQQ,2025-03-06,420.00,put,0.00,0.01,0.00,0,0.01,1200,0,31,2025-03-06,0.97088,-0.00140,0.00018,-0.05678,0.00117,-0.00002
QQQ250306C00421000,QQQ,2025-03-06,421.00,call,0.00,68.06,66.26,10,69.85,10,0,0,2025-03-06,1.70378,0.95604,0.00214,-2.07204,0.02377,0.01092
QQQ250306P00421000,QQQ,2025-03-06,421.00,put,0.00,0.01,0.00,0,0.02,18,0,2,2025-03-06,0.95670,-0.00142,0.00019,-0.05662,0.00119,-0.00002
QQQ250306C00422000,QQQ,2025-03-06,422.00,call,0.00,67.06,65.26,10,68.85,10,0,0,2025-03-06,1.68138,0.95554,0.00218,-2.06395,0.02399,0.01094
QQQ250306P00422000,QQQ,2025-03-06,422.00,put,0.00,0.01,0.00,0,0.02,18,0,16,2025-03-06,0.94268,-0.00144,0.00020,-0.05653,0.00120,-0.00002
QQQ250306C00423000,QQQ,2025-03-06,423.00,call,0.00,66.06,64.26,10,67.85,10,0,0,2025-03-06,1.65912,0.95501,0.00224,-2.05639,0.02422,0.01096
QQQ250306P00423000,QQQ,2025-03-06,423.00,put,0.00,0.01,0.00,0,0.02,18,0,145,2025-03-06,0.92865,-0.00146,0.00020,-0.05642,0.00122,-0.00002
QQQ250306C00424000,QQQ,2025-03-06,424.00,call,0.00,65.05,63.26,10,66.85,10,0,0,2025-03-06,1.63275,0.95486,0.00228,-2.03006,0.02428,0.01099
QQQ250306P00424000,QQQ,2025-03-06,424.00,put,0.00,0.01,0.00,0,0.02,18,0,188,2025-03-06,0.91463,-0.00148,0.00021,-0.05631,0.00123,-0.00002
QQQ250306C00425000,QQQ,2025-03-06,425.00,call,0.00,64.05,62.26,10,65.85,10,0,0,2025-03-06,1.61049,0.95431,0.00233,-2.02210,0.02452,0.01101
QQQ250306P00425000,QQQ,2025-03-06,425.00,put,0.00,0.01,0.00,0,0.02,18,0,48,2025-03-06,0.90060,-0.00150,0.00021,-0.05618,0.00125,-0.00002
QQQ250306C00426000,QQQ,2025-03-06,426.00,call,0.00,63.05,61.26,10,64.85,10,0,0,2025-03-06,1.58839,0.95374,0.00239,-2.01468,0.02477,0.01103
QQQ250306P00426000,QQQ,2025-03-06,426.00,put,0.00,0.01,0.00,0,0.02,18,0,110,2025-03-06,0.88658,-0.00153,0.00022,-0.05604,0.00127,-0.00002
QQQ250306C00427000,QQQ,2025-03-06,427.00,call,0.00,62.05,60.26,10,63.85,10,0,0,2025-03-06,1.56614,0.95317,0.00245,-2.00642,0.02501,0.01105
QQQ250306P00427000,QQQ,2025-03-06,427.00,put,0.00,0.01,0.00,0,0.02,18,0,137,2025-03-06,0.87256,-0.00155,0.00023,-0.05588,0.00128,-0.00002
