contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
SPY250204C00400000,SPY,2025-02-04,400.00,call,201.23,200.53,199.90,60,201.17,10,8,7,2025-02-04,2.69082,1.00000,0.00000,-0.04745,0.00000,0.01096
SPY250204P00400000,SPY,2025-02-04,400.00,put,0.00,0.01,0.00,0,0.01,3750,0,29,2025-02-04,2.41169,-0.00048,0.00002,-0.06549,0.00054,-0.00001
SPY250204C00405000,SPY,2025-02-04,405.00,call,0.00,195.53,194.90,60,196.17,10,0,0,2025-02-04,2.62415,1.00000,0.00000,-0.04804,0.00000,0.01109
SPY250204P00405000,SPY,2025-02-04,405.00,put,0.00,0.01,0.00,0,1.88,1,0,52,2025-02-04,2.34279,-0.00050,0.00002,-0.06530,0.00056,-0.00001
SPY250204C00410000,SPY,2025-02-04,410.00,call,190.96,190.53,189.90,60,191.17,10,0,20,2025-02-04,2.55747,1.00000,0.00000,-0.04863,0.00000,0.01123
SPY250204P00410000,SPY,2025-02-04,410.00,put,0.00,0.01,0.00,0,0.60,15,0,54,2025-02-04,2.27466,-0.00051,0.00003,-0.06511,0.00057,-0.00001
SPY250204C00415000,SPY,2025-02-04,415.00,call,0.00,185.53,184.90,60,186.17,10,0,0,2025-02-04,2.49079,1.00000,0.00000,-0.04923,0.00000,0.01137
SPY250204P00415000,SPY,2025-02-04,415.00,put,0.00,0.01,0.00,0,1.88,1,0,416,2025-02-04,2.20713,-0.00053,0.00003,-0.06486,0.00059,-0.00001
SPY250204C00420000,SPY,2025-02-04,420.00,call,0.00,180.53,179.90,60,181.17,10,0,0,2025-02-04,2.42412,1.00000,0.00000,-0.04982,0.00000,0.01151
SPY250204P00420000,SPY,2025-02-04,420.00,put,0.00,0.01,0.00,0,1.88,1,0,116,2025-02-04,2.14051,-0.00054,0.00003,-0.06468,0.00060,-0.00001
SPY250204C00425000,SPY,2025-02-04,425.00,call,0.00,175.53,174.90,60,176.17,10,0,0,2025-02-04,2.35744,1.00000,0.00000,-0.05041,0.00000,0.01164
